Document ID,Participant,Timestamp,Trial,Task,Response,Choice,RT,ITI (s),Reward,Feedback,All Probabilities,Chosen Probability
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,0,,,,20880,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,1,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,2,,j,,2364,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,3,,d,,16759,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,4,,d,,8435,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,5,,,,10000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,6,response,q,q,1634,,,0.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,7,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,8,,,,,4.12585882,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,8,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,9,response,q,q,2375,,,0.00$,"[0.5,0.3,0.7]",0.5
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,10,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,11,,,,,1.24078153,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,11,,,,,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,12,response,t,t,677,,1,+1.00$,"[0.5,0.3,0.7]",0.3
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,13,,,,1000,,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,14,,,,,2.25875576,,,,
pmFNzYAz2WjqYfhvefaB,prolific_6127c58c58a7159a79e16b1e,2025-03-19T11:13:22.560Z,14,,,,,,,,,
